date,ticker,price
2024-01-01,AAPL,150.95456487697493
2024-01-02,AAPL,149.67312308923488
2024-01-03,AAPL,152.1479331390563
2024-01-04,AAPL,152.34898359584815
2024-01-05,AAPL,150.97113118418113
2024-01-06,AAPL,149.81031085540687
2024-01-07,AAPL,151.31583239047538
2024-01-08,AAPL,151.26477775601907
2024-01-09,AAPL,151.30464648787273
2024-01-10,AAPL,152.0820140540972
2024-01-11,AAPL,151.15645151208665
2024-01-12,AAPL,150.90755501956622
2024-01-13,AAPL,151.08591299500358
2024-01-14,AAPL,151.11153627067858
2024-01-15,AAPL,150.4231033600958
2024-01-16,AAPL,150.0031442109377
2024-01-17,AAPL,148.6497447859779
2024-01-18,AAPL,150.12847122336302
2024-01-19,AAPL,150.44674166354687
2024-01-20,AAPL,149.82520537549937
