date,ticker,price
2024-01-01,AAPL,150.42015123870954
2024-01-02,AAPL,150.62946005994723
2024-01-03,AAPL,152.30208018101797
2024-01-04,AAPL,150.8880834944005
2024-01-05,AAPL,150.7722583887735
2024-01-06,AAPL,150.9519416057863
2024-01-07,AAPL,152.1045991041709
2024-01-08,AAPL,151.6052768306015
2024-01-09,AAPL,152.9558434700525
2024-01-10,AAPL,153.11517727044122
2024-01-11,AAPL,152.51741880872424
2024-01-12,AAPL,151.67094849984142
2024-01-13,AAPL,151.62601001340943
2024-01-14,AAPL,152.73724705851322
2024-01-15,AAPL,152.54373231425058
2024-01-16,AAPL,151.93426710681862
2024-01-17,AAPL,150.53923276607836
2024-01-18,AAPL,151.29516213503527
2024-01-19,AAPL,151.26956955021913
2024-01-20,AAPL,150.9876116807346
